clave,insumo,familia,subfamilia,unidad
6532,TURBO COMPRESOR,Equipo de Transporte,Abrazaderas,PIEZAS
29093,UNIDAD HIDRAULICA COMPLETA,Herramientas y Utiles,Accesorios,PIEZAS
16709,UREA,Equipo de Transporte,Combustible de Gasolina o Diesel,LITROS
12159,VALES ELECTRONICOS,Gastos diversos,Varios (Gastos Diversos),PIEZAS
29340,VALLA DE VELOCIDAD,Gastos diversos,Varios (Gastos Diversos),PIEZAS
10797,VALVE GUIDE EXHAUST,Ferreteria,Varios,PIEZAS
10798,VALVE GUIDE INTAKE,Ferreteria,Varios,PIEZAS
16000,VALVULA,Equipo de Transporte,Valvulas,PIEZAS
13499,VAPORERA,Herramientas y Utiles,Accesorios,PIEZAS
1971,VASELINA,Gastos diversos,Consumibles,PIEZAS
32078,VASO DE COMBUSTIBLE,Equipo de Transporte,Sistema de Filtros,PIEZAS
11298,VASO DE CRISTAL,Gastos diversos,Varios (Gastos Diversos),PIEZAS
25686,VASOS DE GELATINA,Gastos diversos,Varios (Gastos Diversos),PAQUETES
4187,VASOS TERMICOS PETROIL,Gastos diversos,Varios (Gastos Diversos),PIEZAS
33062,VASTAGO DE CIERRE,Equipo de Transporte,Sistema de Suspension,PIEZAS
22698,VEHICULO GOLF ELECTRICO,Equipo de Transporte,Utilitarios,PIEZAS
11233,VELERO PUBLICITARIO,Gastos diversos,Varios (Gastos Diversos),PIEZAS
5893,VENDA ELASTICA,Herramientas y Utiles,Accesorios,PIEZAS
20029,VENDA TRIANGULAR,Gastos diversos,Primeros Auxilios,PIEZAS
30317,VENTANA,Mobiliario y equipo,Mobiliario,PIEZAS
29334,VENTILADOR,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
24661,VERNIER DIGITAL,Herramientas y Utiles,Accesorios,PIEZAS
14015,VERNIER/CALIPER DIGITAL,Equipo de Laboratorio,Material de laboratorio,PIEZAS
15632,VIALETA VIAL,Equipo de Seguridad,Señalamientos,PIEZAS
23685,VIDEO BALUM,Herramientas y Utiles,Accesorios,PIEZAS
21371,VIDEO CAMARA,Equipo de Computo,Accesorios Comunicaciones,UNIDADES
25222,VIDEO PROYECTOR,Equipo de Computo,Accesorios de cómputo,PIEZAS
14856,VIDEOCAMARA DE SEGURIDAD,Equipo de Computo,Camaras,PIEZAS
2182,VIDEOGRABADORA,Equipo de Computo,Camaras,PIEZAS
33785,VIELETA DE DIRECCION,Equipo de Transporte,Sistema Direccion,PIEZAS
25272,VIGA EQUILIBRIO ESTIMULACIÓN,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
10408,VIGIA COMPLETO,Equipo de Transporte,Sistema de Suspension,PIEZAS
27179,VINIL EN CORTE,Gastos diversos,Consumibles,PIEZAS
3344,VISAGRAS,Ferreteria,Varios,PIEZAS
18160,VISTAS DE MADERA,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
25560,VITRINA DE ALMACENAMIENTO,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
25141,VITRINA REFRIGERENTE,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
25494,VOLANTE MOTRIZ P/CASCADIA,Equipo de Transporte,Sistema de Suspension,PIEZAS
15965,VOLTEADOR,Maquinaria y Equipo,Maquinaria y Equipo,PIEZAS
27313,WEARING PARTS SPARES,Herramientas y Utiles,Accesorios,PIEZAS
3069,WINGO,Herramientas y Utiles,Manuales,PIEZAS
27314,WIRES & CABLES SET,Herramientas y Utiles,Accesorios,PIEZAS
13498,WOK,Herramientas y Utiles,Accesorios,PIEZAS
24663,WORK STATION DREMEL,Herramientas y Utiles,Accesorios,PIEZAS
5383,YATE,Gastos diversos,Varios (Gastos Diversos),PIEZAS
11312,YESO,Gastos diversos,Varios (Gastos Diversos),KILOS
28208,YETI-CLAMP EVEREST,NEGOCIOS RENOVABLES,PANALES SOLARES,PIEZAS
5506,YUGO COLUMPIO,Herramientas y Utiles,Yugos,PIEZAS
5880,YUGO MACHO,Herramientas y Utiles,Yugos,PIEZAS
5504,YUGO PIÑON,Herramientas y Utiles,Yugos,PIEZAS
11030,ZAPAPICO,Herramientas y Utiles,Barras,PIEZAS
21402,ZOCLO PISO,Ferreteria,Construccion,METROS
