clave,insumo,familia,subfamilia,unidad
31445,BISEL UNIDAD IZQUIERDO,Equipo de Transporte,Accesorios,PIEZAS
13818,BITACORA DE ACRILICO,Gastos diversos,Varios (Gastos Diversos),PIEZAS
18581,BLOCK DE DISTRIBUCIÓN,Material Electrico,Motor electrico,PIEZAS
18592,BLOCK DE NEUTROS,Material Electrico,Conexión Electrica,PIEZAS
153,BLOCK DE PAGARE,Papeleria y articulos de oficina,Papeleria y articulos de oficina,PIEZAS
27271,BLOWER,Herramientas y Utiles,Accesorios,PIEZAS
24225,BLUETOOTH SHIELD,Herramientas y Utiles,Accesorios,PIEZAS
11574,BNC CHASIS,Gastos diversos,Varios (Gastos Diversos),PIEZAS
15779,BOCASIERRA,Herramientas y Utiles,HERRAMIENTAS,PIEZAS
2222,BOCINAS,Equipo de Computo,Accesorios de cómputo,PIEZAS
11239,BOILER,Ferreteria,Varios,PIEZAS
4267,BOLSA DE SUSPENSION,Equipo de Transporte,Sistema de Suspension,PIEZAS
16050,BOMBA ALIMENTADORA,Herramientas y Utiles,Bombas,PIEZAS
15715,BOMBA ATOMIZADORA,Equipo de Seguridad,Equipo de Seguridad,PIEZAS
14182,BOMBA AUTOCEBANTE GOULDS,Herramientas y Utiles,Bombas,PIEZAS
2616,BOMBA DE AGUA,Equipo de Transporte,Sistema de Motor,PIEZAS
30049,BOMBA DE CLUTCH,Equipo de Transporte,Sistema de Embrague,PIEZAS
15766,BOMBA DE ENFRIAMIENTO,Herramientas y Utiles,Bombas,PIEZAS
15996,BOMBA DE ENGRANAJES,Herramientas y Utiles,Bombas,PIEZAS
11899,BOMBA DE RECIRCULAMIENTO,Maquinaria y Equipo,Equipos Varios (Maquinaria y Equipo),PIEZAS
16078,BOMBA DE SOLUBILIDAD,Herramientas y Utiles,Bombas,PIEZAS
12426,BOMBA DOSIFICADORA,Maquinaria y Equipo,Equipos Varios (Maquinaria y Equipo),PIEZAS
3804,BOMBA EMBRAGUE PROSTAR,Equipo de Transporte,Sistema de Cluth,PIEZAS
196,BOMBA EXTRACTORA MANUAL,Herramientas y Utiles,Bombas,PIEZAS
7069,BOMBA HIDRAULICA,Herramientas y Utiles,Bombas,PIEZAS
16635,BOMBA HIDRONEUMATICA,Herramientas y Utiles,Bombas,PIEZAS
15784,BOMBA MOTOR,Herramientas y Utiles,Bombas,PIEZAS
15785,BOMBA RECEPCION,Herramientas y Utiles,Bombas,PIEZAS
30319,BOMBA RECONSTRUIDA,Maquinaria y Equipo,Equipos Varios (Maquinaria y Equipo),PIEZAS
14242,BOMBA VERTICAL,Herramientas y Utiles,Bombas,PIEZAS
15386,BOQUILLA,Gastos diversos,Varios (Gastos Diversos),PIEZAS
24228,BORDADORA DIGITAL,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
13771,BOTE DE GRASA,Ferreteria,Varios,PIEZAS
209,BOTIQUIN PRIMEROS AUXILIOS,Gastos diversos,Primeros Auxilios,PIEZAS
16330,BOTON CONTACTOR ABIERTO,Material Electrico,Diversos (Material Electrico),PIEZAS
18617,BOTONERA DOBLE COMPLETA,Equipo de Seguridad,Equipo de Seguridad,PIEZAS
22612,BOWL DE MADERA,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
15631,BOYA METALICA,Equipo de Seguridad,Señalamientos,PIEZAS
15633,BOYA PLASTICA,Equipo de Seguridad,Señalamientos,PIEZAS
17508,BRAKE MONOFASICO TERMOMAGNETICA,Material Electrico,Centros de carga,PIEZAS
17509,BRAKE SENCILLA TERMOMAGNETICA,Material Electrico,Centros de carga,PIEZAS
29167,BRAND WALL,Gastos diversos,Varios (Gastos Diversos),PIEZAS
29387,BRAZO DE CARGA,Herramientas y Utiles,Accesorios,PIEZAS
7041,BRAZO DE PUERTA,Ferreteria,Varios,PIEZAS
33458,BRAZO PITGMAN,Equipo de Transporte,Accesorios,PIEZAS
29784,BRAZO VIAJERO COLUMBIA,Equipo de Transporte,Accesorios,PIEZAS
17590,BRIDAS HIDRAULICAS,Maquinaria y Equipo,Refacciones,PAQUETES
29417,BRINCOLIN LUCHADORES,Gastos diversos,Varios (Gastos Diversos),PIEZAS
34726,BROCHA ANTIESTATICA,Equipo de Computo,Accesorios de cómputo,PIEZAS
28946,BUFETERA BRUJA,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
15926,BUFFER EDTA,Gastos diversos,Varios (Gastos Diversos),PIEZAS
25428,BUFFET SLATTED STORAGE,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
5835,BUJES,Herramientas y Utiles,Accesorios,PIEZAS
16331,BUJIA DE COBRE,Gastos diversos,Varios (Gastos Diversos),PIEZAS
28927,BUJIA NKG,Herramientas y Utiles,Accesorios,PIEZAS
7383,BULBO DE REVERSA,Equipo de Transporte,Sistema de Transmision,PIEZAS
10144,BULBO STOP,Equipo de Transporte,sistema electrico,PIEZAS
16062,BURNER CONTROL,Herramientas y Utiles,Accesorios,PIEZAS
5847,BURRERA,Equipo de Transporte,Sistema chasis,PIEZAS
29177,BUSCAPERSONAS DE CAMARERO,Equipo de Computo,Accesorios de cómputo,PIEZAS
29176,BUSCAPERSONAS RECEPTOR RELOJ,Equipo de Computo,Accesorios de cómputo,PIEZAS
10796,BUSHING CONN ROD,Ferreteria,Varios,PIEZAS
14831,BUTANOL,Gastos diversos,Varios (Gastos Diversos),LITROS
7082,BUZON DE SUGERENCIAS,Gastos diversos,Varios (Gastos Diversos),PIEZAS
16010,BYPASS INDUSTRIAL,Plomeria,Plomeria,PIEZAS
25885,BÁSCULA ESTADIMETRO,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
21852,CABALLO DE MADERA,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
18215,CABESTRILLO,Gastos diversos,Primeros Auxilios,PIEZAS
6391,CABEZA COMPRESOR ISX,Equipo de Transporte,Sistema de Motor,PIEZAS
3554,CABEZA DE CILINDRO,Equipo de Transporte,Sistema de Motor,PIEZAS
25132,CABEZAL ASPIRADORA ALBERCA,Ferreteria,Varios,PIEZAS
21994,CABINA TELEFONICA DECORATIVA,Gastos diversos,Diversos,PIEZAS
5098,CABLE CONVERTIDOR LC.,Herramientas y Utiles,Cables,PIEZAS
24862,CABLE DE IGNICION,Herramientas y Utiles,Accesorios,PIEZAS
17512,CABLE DE RED,Herramientas y Utiles,Cables,METROS
31590,CABLE DISPLAY PORT,Equipo de Computo,Cables y conectores,PIEZAS
257,CABLE HDMI,Equipo de Computo,Accesorios de cómputo,PIEZAS
24240,CABLE MICROUSB,Herramientas y Utiles,Cables,PIEZAS
2628,CABLE PASA CORRIENTE,Herramientas y Utiles,Manuales,PIEZAS
260,CABLE PORTAELECTRODO,Herramientas y Utiles,Manuales,METROS
4248,CABLE TIP,Equipo de Computo,Accesorios de cómputo,METROS
290,CABLE VGA,Equipo de Computo,Accesorios de cómputo,PIEZAS
11573,CABLES ANTENA,Gastos diversos,Varios (Gastos Diversos),PIEZAS
11572,CABLES BATERIA,Gastos diversos,Audio,PIEZAS
14969,CABO POLIPLUS DE ½”,Ferreteria,Varios,ROLLOS
17751,CABO ½” NYLON TORCIDO,Ferreteria,Varios,PIEZAS
32585,CACEROLA CINSA,Cocina,Utensilios,PIEZAS
26492,CACTUS DE PELUCHE,Gastos diversos,Varios (Gastos Diversos),PIEZAS
17085,CADENA DE AMARRE,Herramientas y Utiles,Accesorios,PIEZAS
16005,CADENA DE TRANSMISION,Ferreteria,Herrajes,PIEZAS
16006,CADENA DOBLE PASO,Ferreteria,Herrajes,PIEZAS
2471,CADENA GALVANIZADA,Equipo de Transporte,Sistema General,METROS
2338,CAFETERA,Gastos diversos,Varios (Gastos Diversos),PIEZAS
24242,CAIMANES GRUESOS,Herramientas y Utiles,Cables,PIEZAS
14746,CAJA APARENTE,Equipo de Computo,Accesorios Redes,PIEZAS
14183,CAJA DE ARENA,Ferreteria,Varios,PIEZAS
2341,CAJA DE CONTROLES,Material Electrico,Conexión Electrica,PIEZAS
28638,CAJA DE DIRECCION,Equipo de Transporte,Sistema Direccion,PIEZAS
2330,CAJA DE MADERA,Gastos diversos,Varios (Gastos Diversos),PIEZAS
22613,CAJA DE MÁRMOL,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
296,CAJA FUERTE,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
14617,CAJA HEXAGONAL MIXTA,Material Electrico,Registro,PIEZAS
24245,CAJA PLÁSTICA,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
15589,CALAVERA TRASERA IZQUIERDA,Gastos diversos,Varios (Gastos Diversos),PIEZAS
27996,CALCAS,Gastos diversos,Varios (Gastos Diversos),PIEZAS
26416,CALCOMANIA IMPORTANTE CONSUMIDOR,Gastos diversos,Varios (Gastos Diversos),PIEZAS
5366,CALCOMANIA LOGO ESR,Gastos diversos,Varios (Gastos Diversos),PIEZAS
3312,CALCOMANIA LOGO PETROIL,Gastos diversos,Varios (Gastos Diversos),PIEZAS
3544,CALCOMANIA ROMBOS,Gastos diversos,Varios (Gastos Diversos),PIEZAS
6339,CALCOMANIA UBICACION,Gastos diversos,Varios (Gastos Diversos),PIEZAS
18124,CALCOMANÍA CUBICACIÓN,Ferreteria,Varios,PIEZAS
22068,CALEFACTOR ELECTRICO,Herramientas y Utiles,Accesorios,PIEZAS
15113,CALENDARIO DE MAREAS,Papeleria y articulos de oficina,Papeleria y articulos de oficina,PIEZAS
28941,CALENTADOR DE INSERTOS,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
30762,CALENTADOR SOLAR,NEGOCIOS RENOVABLES,PANALES SOLARES,PIEZAS
14724,CALIBRADOR PROFUNDIMETRO DIGITAL,Herramientas y Utiles,Calibradores,PIEZAS
10795,CAM BUSHING,Ferreteria,Varios,PIEZAS
25559,CAMA DE EXPLORACIÓN,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
302,CAMARA DE SEGURIDAD,Equipo de Transporte,Siza,PIEZAS
21148,CAMARA IP FISHEYE,Equipo de Computo,Camaras,UNIDADES
33570,CAMARA MPC,Equipo de Transporte,Accesorios,PIEZAS
18128,CAMARA PROFESIONAL,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
21990,CAMARA TESTER DISPLAY,Herramientas y Utiles,Accesorios,PIEZAS
28367,CAMASTRO,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
26188,CAMBIADOR DE PAÑALES,Gastos diversos,Varios (Gastos Diversos),PIEZAS
23702,CAMILLA DE MASAJE,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
27462,CAMILLA MARINA,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
34577,CAMION DE CARGA,Equipo de Transporte,Utilitarios,UNIDADES
16170,CAMION PLATAFORMA,Gastos diversos,Varios (Gastos Diversos),PIEZAS
304,CAMIONETA,Equipo de Transporte,Utilitarios,UNIDADES
10071,CAMISA P/BALANCIN,Equipo de Transporte,Sistema chasis,ROLLOS
2433,CAMPANA DE EXTRACCION,Herramientas y Utiles,Manuales,PIEZAS
25901,CAMPOS ESTÉRILES,Herramientas y Utiles,Accesorios,PIEZAS
11546,CANAL REFUERZO,Equipo de Transporte,Sistema chasis,PIEZAS
15065,CANALETA DE RED,Gastos diversos,Varios (Gastos Diversos),PIEZAS
2037,CANDADO,Ferreteria,Varios,PIEZAS
21785,CANDELABRO,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
6911,CANDELERO DE TRANSMICION,Equipo de Transporte,Sistema de Embrague,PIEZAS
15402,CAPSULA DE PORCELANA,Herramientas y Utiles,HERRAMIENTAS,PIEZAS
21150,CAPTURA DE VIDEOS,Equipo de Computo,Accesorios Comunicaciones,UNIDADES
3473,CAPUCHON NODO,Equipo de Computo,Accesorios Comunicaciones,PIEZAS
14832,CARBON ACTIVADO,Gastos diversos,Varios (Gastos Diversos),KILOS
30576,CARCAZA TERMOSTATO,Equipo de Transporte,Sistema de Enfriamiento,PIEZAS
24251,CARETAS,Equipo de Seguridad,Equipo de Seguridad,PIEZAS
10559,CARGADOR DE BATERIAS,Ferreteria,Varios,PIEZAS
27185,CARGADOR DE TABLET,Equipo de Computo,Accesorios de cómputo,PIEZAS
28284,CARPA,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
2595,CARRETILLA,Ferreteria,Varios,PIEZAS
24253,CARRITO DE HERRRAMIENTAS,Herramientas y Utiles,Accesorios,PIEZAS
23548,CARRO CLINICO NIBBOT,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
21791,CARRUAJE,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
6278,CASCO DE ACUMULADOR,Equipo de Transporte,Acumuladores,PIEZAS
30240,CASTILLO,Ferreteria,Ferreteria,PIEZAS
21853,CAÑON ANTIGUO,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
3438,CD/DVD,Gastos diversos,Varios (Gastos Diversos),PIEZAS
2038,CEMENTO,Ferreteria,Construccion,SACOS
15946,CENTRO DE LAVADO,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
11908,CEPILLAR CABEZA,Gastos diversos,Varios (Gastos Diversos),PIEZAS
3058,CEPILLO DE ALAMBRE,Ferreteria,Varios,PIEZAS
32770,CEPILLO SUAVE AUTOMOTRIZ,Gastos diversos,Varios (Gastos Diversos),PIEZAS
16049,CERNIDOR INDUSTRIAL,Herramientas y Utiles,Accesorios,PIEZAS
10629,CERRADURA COFRE,Equipo de Transporte,Sistema de carroceria,PIEZAS
9960,CERRADURA ELECTROMECANICA,Ferreteria,Herrajes,PIEZAS
28535,CESTA TULE,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
10255,CHALUPA DE PVC,Ferreteria,Varios,PIEZAS
17095,CHAPA TOVER,Ferreteria,Herrajes,PIEZAS
6492,CHAPAS ESPECIALES,Gastos diversos,Varios (Gastos Diversos),PIEZAS
15076,CHAPETONES,Gastos diversos,Varios (Gastos Diversos),PIEZAS
6657,CHARITO ENT. FCO.,Gastos diversos,Varios (Gastos Diversos),KILOS
6658,CHARITO IND.,Gastos diversos,Varios (Gastos Diversos),KILOS
17605,CHAROLA ANTIDERRAME,Herramientas y Utiles,Accesorios,PIEZAS
32730,CHAROLA DE DISECCION,Gastos diversos,Varios (Gastos Diversos),PIEZAS
27273,CHEMICAL SCRUBER,Herramientas y Utiles,Accesorios,PIEZAS
16077,CHIMENEA INDUSTRIAL,Herramientas y Utiles,Accesorios,PIEZAS
30295,CHUPON UNIVERSAL,Plomeria,Plomeria,PIEZAS
12652,CIERRA PUERTAS HIDRAULICO,Equipo de Seguridad,Equipo de Seguridad,PIEZAS
23473,CIGÜEÑAL ISX STD,Equipo de Transporte,Sistema de Motor,PIEZAS
19640,CILINDRO DE CLUTH,Equipo de Transporte,Sistema de frenos,PIEZAS
15372,CILINDRO DE GAS,Ferreteria,Varios,PIEZAS
15409,CILINDRO DE METAL,Gastos diversos,Varios (Gastos Diversos),PIEZAS
30355,CILINDRO ISO,Equipo de Transporte,Accesorios,PIEZAS
30251,CILINDRO MAESTRO,Maquinaria y Equipo,Equipos Varios (Maquinaria y Equipo),PIEZAS
376,CINCEL DE ACERO,Herramientas y Utiles,Manuales,PIEZAS
21172,CINTILLOS DE PLÁSTICO,Ferreteria,Varios,UNIDADES
4279,CINTILLOS MEDIANOS,Equipo de Transporte,Abrazaderas,PIEZAS
25622,CIRCUITO DE COMUNICACIÓN,Herramientas y Utiles,Accesorios,PIEZAS
27276,CIRCULATING PUMP,Herramientas y Utiles,Accesorios,PIEZAS
4139,CLAVIJA METALICA,Ferreteria,Varios,PIEZAS
4140,CLAVIJA PLASTICA,Ferreteria,Varios,PIEZAS
27315,CLEANNING TANK,Herramientas y Utiles,Accesorios,PIEZAS
27316,CLEANNING TRANSPORT PUMP,Herramientas y Utiles,Accesorios,PIEZAS
18613,CLEMA PORTAFUSIBLE,Material Electrico,Conexión Electrica,PIEZAS
26167,CLOROFORMO A.C.S,Equipo de Laboratorio,Material de laboratorio,LITROS
32566,CLOROFORMO PURO,Equipo de Laboratorio,Material de laboratorio,LITROS
24275,CLORURO FÉRRICO,Herramientas y Utiles,Accesorios,PIEZAS
13502,CLUTCH DOBLE,Herramientas y Utiles,Accesorios,PIE
15968,COCEDOR,Maquinaria y Equipo,Maquinaria y Equipo,PIEZAS
10680,COCINA CROMO PULIDO,Ferreteria,Varios,PIEZAS
13539,CODO HIDRAULICO,Plomeria,Codos,PIEZAS
23774,CODO MANGUERA SINFÍN,Ferreteria,Varios,PIEZAS
29168,COFFE BAR,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
21778,COFRE,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
24708,COJINES DE DESCANSO,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
16634,COLADOR DE ACERO,Ferreteria,Varios,PIEZAS
12612,COLCHON INDIVIDUAL,Gastos diversos,Varios (Gastos Diversos),PIEZAS
12613,COLCHON MATROMONIAL,Gastos diversos,Varios (Gastos Diversos),PIEZAS
32600,COLECTOR ACEITE,Herramientas y Utiles,Accesorios,PIEZAS
19428,COLGADOR DE ALUMINIO,Ferreteria,Herrajes,PIEZAS
15165,COLLAR CERVICAL,Equipo de Seguridad,Equipo de Seguridad,PIEZAS
9613,COLLARIN,Herramientas y Utiles,Accesorios,PIEZAS
26092,COLMILLOS DE PLASTICO,Gastos diversos,Consumibles,PIEZAS
28368,COLUMPIO,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
15592,COMPENSADOR DE VOLTAJE,Equipo de Computo,Accesorios Comunicaciones,PIEZAS
20037,COMPRESA FRIA,Gastos diversos,Primeros Auxilios,PAQUETES
16074,COMPRESOR DE ACEITE,Gastos diversos,Comprensores,PIEZAS
484,COMPRESOR DE AIRE,Herramientas,Semi-automaticas,PIEZAS
22848,COMPRESOR DE GAS,Maquinaria y Equipo,Maquinaria y Equipo,PIEZAS
8003,COMPUESTO READY MIX,Ferreteria,Construccion,CAJAS
2614,COMPUTADORA,Equipo de Computo,Equipo de cómputo,PIEZAS
27277,CONCENTRATE DISTRIBUTION PUMP,Herramientas y Utiles,Accesorios,PIEZAS
27278,CONCENTRATE HEATIN TANK,Herramientas y Utiles,Accesorios,PIEZAS
24276,CONCHAS AUDITIVAS,Equipo de Seguridad,Equipo de Seguridad,PIEZAS
14008,CONCRETO CONCRETE MIX,Gastos diversos,Varios (Gastos Diversos),KILOS
15038,CONCRETO PREMEZCLADO,Gastos diversos,Varios (Gastos Diversos),METROS
25842,CONDENSADOR A/C,Herramientas y Utiles,Accesorios,PIEZAS
12217,CONDENSADOR RECTO,Herramientas y Utiles,HERRAMIENTAS,PIEZAS
27279,CONDENSER,Herramientas y Utiles,Accesorios,PIEZAS
27280,CONDENSING PUMP,Herramientas y Utiles,Accesorios,PIEZAS
33015,CONECTOR ARNES ECM,Equipo de Transporte,sistema electrico,PIEZAS
10603,CONECTOR CAN BUS,Equipo de Transporte,GPS Y SENSORES,PIEZAS
9647,CONECTOR ELECTRICO RELAY,Equipo de Transporte,sistema electrico,PIEZAS
8169,CONECTOR LZ,Equipo de Transporte,Abrazaderas,PIEZAS
20922,CONECTOR NEON FLEX,Material Electrico,Contactores,PIEZAS
24911,CONECTOR RAPIDO INFLALLANTAS,Ferreteria,Varios,PIEZAS
4807,CONECTOR TUERCA,Material Electrico,Tuercas,PIEZAS
34587,CONEXION,Conexiones Rapidas,Conexión rapida,PIEZAS
13799,CONGELADOR HORIZONTAL,Gastos diversos,Varios (Gastos Diversos),PIEZAS
8352,CONGELADOR VERTICAL,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
2528,CONMUTADOR,Equipo de Computo,Accesorios Comunicaciones,PIEZAS
4577,CONTACTO DOBLE COMPLETO,Ferreteria,Varios,PIEZAS
3092,CONTACTO DOBLE METALICO,Ferreteria,Varios,PIEZAS
4442,CONTACTO DOBLE POLARIZADO,Ferreteria,Varios,PIEZAS
1100,CONTACTO DOBLE SENCILLO,Ferreteria,Varios,PIEZAS
9959,CONTACTO DUPLEX,Ferreteria,Varios,PIEZAS
30197,CONTACTO INTELIGENTE,Material Electrico,Material Electrico,PIEZAS
15266,CONTACTO NORMALMENTE ABIERTO,Material Electrico,Contactores,PIEZAS
15267,CONTACTO NORMALMENTE CERRADO,Material Electrico,Contactores,PIEZAS
4869,CONTACTO SENCILLO METALICO,Ferreteria,Varios,PIEZAS
32081,CONTACTOS MTD,Equipo de Transporte,sistema electrico,PIEZAS
29064,CONTADOR MANUAL,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
2221,CONTADORA DE BILLETES,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
8558,CONTADORA DE MONEDAS,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
15765,CONTENEDOR MOVIL,Equipo de Laboratorio,Material de laboratorio,PIEZAS
31316,CONTI MOBILITY KIT,Herramientas y Utiles,HERRAMIENTAS,PIEZAS
23493,CONTRA LAVABO,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
28929,CONTROL CALEFACCION,Herramientas y Utiles,Accesorios,PIEZAS
21498,CONTROL DE ESTROBOS,Equipo de Transporte,Sistema de luces o iluminación,PIEZAS
2342,CONTROL DE PROYECTOR,Herramientas y Utiles,Accesorios,PIEZAS
15875,CONTROLADOR DE MOTOR,Maquinaria y Equipo,Equipos de Medición,PIEZAS
2262,CONTROLADORA INALAMBRICA,Equipo de Comunicación,Equipo de Comunicación,PIEZAS
31273,CONTROLADORA OMADA,Equipo de Comunicación,Equipo de Comunicación,UNIDADES
34444,CONVERTIDOR DE RANGO,Equipo de Transporte,sistema electrico,PIEZAS
27282,COOKER,Herramientas y Utiles,Accesorios,PIEZAS
21787,COOLER PORTATIL,Herramientas y Utiles,Accesorios,PIEZAS
17594,COPLES,Maquinaria y Equipo,Refacciones,PAQUETES
20363,CORDON GAFETE,Papeleria y articulos de oficina,Papeleria y articulos de oficina,PIEZAS
23045,CORDON P/PISTOLA EXTRUSORA,Materia Prima,Diversos Renovados,KILOS
32079,CORE INYECTOR,Equipo de Transporte,Sistema de Inyeccion,PIEZAS
29579,CORE SAM CABINA,Equipo de Transporte,sistema electrico,PIEZAS
19383,CORE SHORT BLOCK,Herramientas y Utiles,Accesorios,PIEZAS
28545,CORREA DE HOMBRO,Equipo de Seguridad,Equipo de Seguridad,PIEZAS
16195,CORREAS DE CARGA,Herramientas y Utiles,Accesorios,JUEGO
29357,CORTA PERNOS,Herramientas y Utiles,Manuales,PIEZAS
15817,CORTADOR DE EMPAQUE,Herramientas y Utiles,HERRAMIENTAS,PIEZAS
15420,CORTADOR DE PVC,Herramientas y Utiles,Accesorios,PIEZAS
13721,CORTADORA DE METAL,Equipo de Transporte,Amortiguadores,PIEZAS
26240,CORTINAS,Gastos diversos,Consumibles,PIEZAS
26239,CORTINEROS,Gastos diversos,Consumibles,PIEZAS
25582,COSTURERO,Papeleria y articulos de oficina,Papeleria y articulos de oficina,PIEZAS
29630,COTONETES,Gastos diversos,Varios (Gastos Diversos),PAQUETES
3321,CPL INTERCONTINENTAL,Gastos diversos,Varios (Gastos Diversos),PIEZAS
11253,CRAYON,Ferreteria,Herrajes,PIEZAS
32157,CREDENZA,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
7534,CREMALLERA,Equipo de Transporte,Sistema de Motor,PIEZAS
28966,CREMERA DE CERAMICA,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
15403,CRISOL DE PORCELANA,Herramientas y Utiles,HERRAMIENTAS,PIEZAS
23768,CRISTAL DE PUERTA,Equipo de Transporte,Sistema de carroceria,PIEZAS
30420,CRISTAL ESPEJO SCANIA,Equipo de Transporte,Accesorios,PIEZAS
6518,CRISTAL PARABRISAS,Gastos diversos,Varios (Gastos Diversos),PIEZAS
9728,CRUCETA INTERMEDIA MIXTA,Herramientas y Utiles,HERRAMIENTAS,PIEZAS
21786,CUADRO DE DECORACION,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
30558,CUATRIMOTO,Equipo de Transporte,Utilitarios,PIEZAS
2791,CUBETAS,Ferreteria,Varios,PIEZAS
32435,CUBIERTA DE SEPARADOR,Equipo de Transporte,Sistema de Filtros,PIEZAS
33488,CUBIERTA LAMPARA NIEBLA,Equipo de Transporte,Accesorios,PIEZAS
16514,CUBOS,Herramientas y Utiles,HERRAMIENTAS,PIEZAS
610,CUBRE BOCA,Gastos diversos,Primeros Auxilios,PIEZAS
27186,CUBRE FACIA VEHICULAR,Gastos diversos,Varios (Gastos Diversos),PIEZAS
31225,CUBRE PALANCA,Gastos diversos,Varios (Gastos Diversos),PIEZAS
15583,CUBRE VOLANTE,Gastos diversos,Varios (Gastos Diversos),PIEZAS
15942,CUBRECALZADO DE POLIPROPILENO,Equipo de Seguridad,Equipo de Seguridad,PAQUETES
34817,CUBRENUCA MALLA,Equipo de Seguridad,Cascos,PIEZAS
31222,CUBREZAPATO FAROLESA,Gastos diversos,Varios (Gastos Diversos),PIEZAS
20248,CUCHARA DE PLASTICO,Cocina,Utensilios,PAQUETES
23406,CUCHILLA APOLO,Herramientas y Utiles,HERRAMIENTAS,PIEZAS
18828,CUCHILLO CHEF,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
32584,CUCHILLO SIERRA,Cocina,Utensilios,PIEZAS
21693,CUCHILLO TRAMONTINA,Cocina,Utensilios,PIEZAS
612,CUENTA FÁCIL,Papeleria y articulos de oficina,Papeleria y articulos de oficina,PIEZAS
613,CUERDA DE VIDA,Equipo de seguridad terrestre,Equipo de Proteccion Personal,PIEZAS
32844,CUPONES DE LAVADO,Gastos diversos,Varios (Gastos Diversos),PIEZAS
8362,CURACRETO,Gastos diversos,Varios (Gastos Diversos),LITROS
3798,CUTTER,Papeleria y articulos de oficina,Papeleria y articulos de oficina,PIEZAS
2793,CUÑA DE BARRA,Herramientas y Utiles,Manuales,PIEZAS
618,CUÑA DE FIERRO,Herramientas y Utiles,Manuales,PIEZAS
24187,CUÑA DE METAL,Ferreteria,Varios,PIEZAS
24186,CUÑA DE PLASTICO,Ferreteria,Varios,PIEZAS
303,CÁMARA WEB,Equipo de Computo,Camaras,PIEZAS
5976,DADOS DE IMPACTO,Herramientas y Utiles,Manuales,PIEZAS
27284,DE-METEL CYLINDER,Herramientas y Utiles,Accesorios,PIEZAS
21856,DECORACION DE COBRE,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
10674,DEFENSA CROMADA PARACHOQUES,Equipo de Transporte,Sistema chasis,PIEZAS
17606,DEFENSA DE MOTORTOOL,Equipo de Transporte,Sistema chasis,PIEZAS
10416,DEMERITO DE MOTOR,Equipo de Transporte,Sistema de Motor,PIEZAS
1622,DEMOSTRADOR PUBLICITARIO,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
23290,DENSIMETRO DE INVERSION,Herramientas y Utiles,HERRAMIENTAS,PIEZAS
11895,DENSIMETRO DIGITAL,Maquinaria y Equipo,Equipos de Medición,PIEZAS
17732,DENSÍMETRO AUTOMÁTICO DIGITAL,Herramientas y Utiles,HERRAMIENTAS,PIEZAS
27285,DEODORIZING PIPELINE,Herramientas y Utiles,Accesorios,PIEZAS
24289,DEPILADOR,Herramientas y Utiles,Navajas,PIEZAS
28392,DEPOSITO DE LIMPIAPARABRISAS,Equipo de Transporte,Sistema de carroceria,PIEZAS
17798,DEPOSITO EXTERIOR,Ferreteria,Varios,PIEZAS
23732,DERMO GARD AQUA,Ferreteria,Varios,PIEZAS
14254,DESARMADOR DE ANGULO,Herramientas y Utiles,Desarmadores,PIEZAS
10053,DESBROZADORA ELECTRICA,Herramientas y Utiles,Electricas,PIEZAS
28285,DESCORAZONADOR DE MANZANA,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
23698,DESFIBRILADOR,Herramientas y Utiles,Accesorios,PIEZAS
